latitud,longitud,comp_n,comp_e
-2,-58,0.0127,-0.0026
-2,-57,0.0128,-0.0028
-2,-56,0.0129,-0.0028
-2,-55,0.0122,-0.0028
-2,-54,0.0123,-0.0031
-2,-53,0.0121,-0.0029
-2,-52,0.0121,-0.0029
-2,-51,0.0122,-0.0029
-2,-50,0.0123,-0.0029
-2,-49,0.0123,-0.0029
-2,-48,0.0129,-0.003
-2,-47,0.0133,-0.003
-2,-46,0.0133,-0.003
-2,-45,0.013,-0.003
-2,-44,0.0131,-0.0029
-2,-43,0.0134,-0.0033
-3,-81,0.0075,0.0066
-3,-80,0.0087,0.0034
-3,-79,0.0087,0.0016
-3,-78,0.0103,0.0002
-3,-77,0.0117,-0.0021
-3,-76,0.0101,-0.0044
-3,-75,0.0102,-0.0044
-3,-74,0.0102,-0.0034
-3,-73,0.011,-0.0038
-3,-72,0.0107,-0.0038
-3,-71,0.0108,-0.0029
-3,-70,0.011,-0.0021
-3,-69,0.0114,-0.0026
-3,-68,0.0116,-0.0029
-3,-67,0.0117,-0.0029
-3,-66,0.0117,-0.0029
-3,-65,0.0118,-0.0029
-3,-64,0.0121,-0.0028
-3,-63,0.0124,-0.0031
-3,-62,0.0125,-0.0031
-3,-61,0.0125,-0.0029
-3,-60,0.0129,-0.0032
-3,-59,0.0128,-0.003
-3,-58,0.0127,-0.0028
-3,-57,0.0128,-0.0028
-3,-56,0.0129,-0.0028
-3,-55,0.0124,-0.0027
-3,-54,0.0122,-0.0027
-3,-53,0.0124,-0.0029
-3,-52,0.0121,-0.0028
-3,-51,0.0126,-0.003
-3,-50,0.0131,-0.0033
-3,-49,0.0131,-0.0033
-3,-48,0.0132,-0.0033
-3,-47,0.0133,-0.0032
-3,-46,0.0132,-0.0031
-3,-45,0.0131,-0.0029
-3,-44,0.0132,-0.0028
-3,-43,0.013,-0.0029
-3,-42,0.0134,-0.0035
-3,-41,0.0137,-0.0037
-3,-40,0.0141,-0.0039
-3,-39,0.0141,-0.0038
-4,-81,0.0078,0.0045
-4,-80,0.0075,0.0028
-4,-79,0.0078,0.0017
-4,-78,0.0077,0.0015
-4,-77,0.0083,0.0006
-4,-76,0.0098,-0.0015
-4,-75,0.0099,-0.0016
-4,-74,0.0103,-0.0025
-4,-73,0.0107,-0.0012
-4,-72,0.0108,-0.0012
-4,-71,0.0109,-0.0014
-4,-70,0.011,-0.0018
-4,-69,0.0114,-0.0025
-4,-68,0.0116,-0.0028
-4,-67,0.0117,-0.0028
-4,-66,0.0117,-0.0028
-4,-65,0.0118,-0.0028
-4,-64,0.0123,-0.003
-4,-63,0.0124,-0.003
-4,-62,0.0125,-0.003
-4,-61,0.0125,-0.0031
-4,-60,0.0128,-0.0031
-4,-59,0.0129,-0.003
-4,-58,0.0127,-0.0027
-4,-57,0.0128,-0.0027
-4,-56,0.0129,-0.0027
-4,-55,0.0124,-0.0026
-4,-54,0.0125,-0.0027
-4,-53,0.013,-0.0029
-4,-52,0.0126,-0.0027
-4,-51,0.0131,-0.0032
-4,-50,0.0131,-0.0032
-4,-49,0.0132,-0.0032
-4,-48,0.0132,-0.0033
-4,-47,0.0133,-0.003
-4,-46,0.0133,-0.003
-4,-45,0.0131,-0.0028
-4,-44,0.013,-0.0029
-4,-43,0.0129,-0.0029
-4,-42,0.0134,-0.0035
-4,-41,0.0137,-0.0037
-4,-40,0.0142,-0.0039
-4,-39,0.0141,-0.0038
-4,-38,0.0144,-0.0036
-5,-81,0.0069,0.0031
-5,-80,0.007,0.003
-5,-79,0.0072,0.003
-5,-78,0.0079,0.0018
-5,-77,0.0078,0.0016
-5,-76,0.0088,0.0002
-5,-75,0.0105,-0.001
-5,-74,0.0106,-0.0011
-5,-73,0.0107,-0.0011
-5,-72,0.0108,-0.0011
-5,-71,0.0109,-0.0011
-5,-70,0.011,-0.0017
-5,-69,0.0114,-0.0022
-5,-68,0.0116,-0.0024
-5,-67,0.0117,-0.0024
-5,-66,0.0118,-0.0029
-5,-65,0.0119,-0.0029
-5,-64,0.012,-0.0029
-5,-63,0.0123,-0.0028
-5,-62,0.0125,-0.003
-5,-61,0.0125,-0.003
-5,-60,0.0128,-0.0029
-5,-59,0.0128,-0.0028
-5,-58,0.0127,-0.0026
-5,-57,0.0128,-0.0027
-5,-56,0.0129,-0.0027
-5,-55,0.0129,-0.0027
-5,-54,0.0129,-0.0028
-5,-53,0.013,-0.0028
-5,-52,0.013,-0.0029
-5,-51,0.0131,-0.0032
-5,-50,0.0131,-0.0032
-5,-49,0.0132,-0.0032
-5,-48,0.013,-0.0032
-5,-47,0.0133,-0.003
-5,-46,0.0128,-0.0035
-5,-45,0.013,-0.003
-5,-44,0.0126,-0.0029
-5,-43,0.0124,-0.003
-5,-42,0.0128,-0.0035
-5,-41,0.0134,-0.0035
-5,-40,0.014,-0.0038
-5,-39,0.0144,-0.0036
-5,-38,0.0143,-0.0036
-5,-37,0.0141,-0.0036
-5,-36,0.0139,-0.0039
-5,-35,0.014,-0.0038
-6,-81,0.0069,0.0032
-6,-80,0.007,0.0032
-6,-79,0.0072,0.0032
-6,-78,0.0073,0.0032
-6,-77,0.0083,0.0018
-6,-76,0.01,-0.0003
-6,-75,0.0105,-0.0009
-6,-74,0.0106,-0.0009
-6,-73,0.0107,-0.0009
-6,-72,0.0108,-0.001
-6,-71,0.0109,-0.001
-6,-70,0.0112,-0.0013
-6,-69,0.0113,-0.0015
-6,-68,0.0118,-0.0025
-6,-67,0.0118,-0.0024
-6,-66,0.0118,-0.0028
-6,-65,0.0119,-0.0028
-6,-64,0.012,-0.0028
-6,-63,0.0121,-0.0029
-6,-62,0.0124,-0.0028
-6,-61,0.0124,-0.0028
-6,-60,0.0126,-0.0023
-6,-59,0.0127,-0.0024
-6,-58,0.0129,-0.0025
-6,-57,0.013,-0.0025
-6,-56,0.013,-0.0026
-6,-55,0.0129,-0.0027
-6,-54,0.013,-0.0028
-6,-53,0.013,-0.0028
-6,-52,0.013,-0.0029
-6,-51,0.0131,-0.0031
-6,-50,0.0131,-0.0032
-6,-49,0.013,-0.0033
-6,-48,0.013,-0.0033
-6,-47,0.013,-0.0034
-6,-46,0.0128,-0.0035
-6,-45,0.0124,-0.0033
-6,-44,0.0124,-0.003
-6,-43,0.0123,-0.003
-6,-42,0.0127,-0.0033
-6,-41,0.0124,-0.003
-6,-40,0.0136,-0.0035
-6,-39,0.0142,-0.0032
-6,-38,0.014,-0.0036
-6,-37,0.0137,-0.0039
-6,-36,0.014,-0.0038
-6,-35,0.0133,-0.0038
-7,-80,0.007,0.0033
-7,-79,0.0072,0.0033
-7,-78,0.0086,0.0018
-7,-77,0.0087,0.0018
-7,-76,0.0104,-0.0008
-7,-75,0.0105,-0.0008
-7,-74,0.0106,-0.0008
-7,-73,0.0107,-0.0008
-7,-72,0.0108,-0.0009
-7,-71,0.0109,-0.0009
-7,-70,0.0112,-0.0012
-7,-69,0.0113,-0.0014
-7,-68,0.0114,-0.0017
-7,-67,0.0117,-0.002
-7,-66,0.0117,-0.002
-7,-65,0.0117,-0.0023
-7,-64,0.012,-0.0028
-7,-63,0.0123,-0.0026
-7,-62,0.0123,-0.0022
-7,-61,0.0126,-0.0022
-7,-60,0.0127,-0.0023
-7,-59,0.013,-0.0021
-7,-58,0.0129,-0.0024
-7,-57,0.013,-0.0024
-7,-56,0.0129,-0.0029
-7,-55,0.0129,-0.0027
-7,-54,0.0129,-0.0027
-7,-53,0.013,-0.0027
-7,-52,0.0129,-0.003
-7,-51,0.0129,-0.0031
-7,-50,0.013,-0.0031
-7,-49,0.0129,-0.0034
-7,-48,0.0128,-0.0035
-7,-47,0.0128,-0.0036
-7,-46,0.0126,-0.0033
-7,-45,0.0124,-0.0035
-7,-44,0.0121,-0.0036
-7,-43,0.0122,-0.0031
-7,-42,0.0124,-0.0031
-7,-41,0.0126,-0.0031
-7,-40,0.0133,-0.0034
-7,-39,0.0134,-0.0034
-7,-38,0.0133,-0.0035
-7,-37,0.013,-0.0043
-7,-36,0.0134,-0.004
-7,-35,0.0134,-0.004
-8,-80,0.0087,0.0075
-8,-79,0.0098,0.0065
-8,-78,0.0101,0.0067
-8,-77,0.0102,0.0053
-8,-76,0.0115,0.0052
-8,-75,0.011,0.0018
-8,-74,0.0106,-0.0007
-8,-73,0.0107,-0.0007
-8,-72,0.0108,-0.0008
-8,-71,0.011,-0.0007
-8,-70,0.0113,-0.0005
-8,-69,0.0113,-0.0007
-8,-68,0.0114,-0.0015
-8,-67,0.0115,-0.0015
-8,-66,0.0115,-0.0015
-8,-65,0.0114,-0.0018
-8,-64,0.0118,-0.0018
-8,-63,0.012,-0.0017
-8,-62,0.012,-0.0018
-8,-61,0.0123,-0.0019
-8,-60,0.0127,-0.0022
-8,-59,0.0128,-0.0022
-8,-58,0.0129,-0.0024
-8,-57,0.0129,-0.0027
-8,-56,0.013,-0.0027
-8,-55,0.013,-0.0027
-8,-54,0.0129,-0.0029
-8,-53,0.0129,-0.0029
-8,-52,0.0128,-0.0031
-8,-51,0.0129,-0.0032
-8,-50,0.013,-0.0032
-8,-49,0.0127,-0.0034
-8,-48,0.0125,-0.0037
-8,-47,0.0126,-0.0037
-8,-46,0.0125,-0.0031
-8,-45,0.0124,-0.0029
-8,-44,0.0123,-0.0033
-8,-43,0.0126,-0.0029
-8,-42,0.0126,-0.0029
-8,-41,0.013,-0.0028
-8,-40,0.0132,-0.0033
-8,-39,0.0133,-0.0034
-8,-38,0.0133,-0.0035
-8,-37,0.0128,-0.0042
-8,-36,0.0135,-0.0043
-8,-35,0.0134,-0.0044
-9,-79,0.0104,0.0086
-9,-78,0.0105,0.0086
-9,-77,0.0117,0.0073
-9,-76,0.0116,0.0061
-9,-75,0.0113,0.0038
-9,-74,0.0112,0.0028
-9,-73,0.0114,0.0034
-9,-72,0.0109,-0.0003
-9,-71,0.011,-0.0005
-9,-70,0.0114,-0.0006
-9,-69,0.0113,-0.0006
-9,-68,0.0114,-0.0006
-9,-67,0.0115,-0.0014
-9,-66,0.0115,-0.0014
-9,-65,0.0116,-0.0014
-9,-64,0.0119,-0.0016
-9,-63,0.012,-0.0016
-9,-62,0.0121,-0.0016
-9,-61,0.0122,-0.0022
-9,-60,0.0123,-0.0022
-9,-59,0.0126,-0.0022
-9,-58,0.0129,-0.0025
-9,-57,0.0129,-0.0026
-9,-56,0.013,-0.0026
-9,-55,0.013,-0.0028
-9,-54,0.0129,-0.003
-9,-53,0.0132,-0.0031
-9,-52,0.0128,-0.0031
-9,-51,0.0127,-0.0031
-9,-50,0.0127,-0.0032
-9,-49,0.0127,-0.0032
-9,-48,0.0124,-0.0029
-9,-47,0.0124,-0.0031
-9,-46,0.0124,-0.0031
-9,-45,0.0125,-0.0027
-9,-44,0.0124,-0.0029
-9,-43,0.0126,-0.0026
-9,-42,0.0128,-0.0028
-9,-41,0.013,-0.0028
-9,-40,0.0131,-0.0031
-9,-39,0.0132,-0.0034
-9,-38,0.013,-0.004
-9,-37,0.013,-0.004
-9,-36,0.0128,-0.0045
-9,-35,0.0137,-0.0038
-10,-79,0.0104,0.0087
-10,-78,0.0105,0.0087
-10,-77,0.0121,0.0094
-10,-76,0.012,0.0081
-10,-75,0.0118,0.0065
-10,-74,0.0117,0.0056
-10,-73,0.0117,0.0043
-10,-72,0.0109,0
-10,-71,0.0112,-0.0004
-10,-70,0.0114,-0.0005
-10,-69,0.0113,-0.0005
-10,-68,0.0115,-0.0005
-10,-67,0.0116,-0.0009
-10,-66,0.0115,-0.0013
-10,-65,0.0116,-0.0013
-10,-64,0.0119,-0.0015
-10,-63,0.012,-0.0015
-10,-62,0.012,-0.0019
-10,-61,0.0122,-0.0021
-10,-60,0.0123,-0.0021
-10,-59,0.0126,-0.0022
-10,-58,0.0127,-0.0024
-10,-57,0.0128,-0.0024
-10,-56,0.0132,-0.0028
-10,-55,0.0131,-0.0029
-10,-54,0.0129,-0.003
-10,-53,0.0132,-0.003
-10,-52,0.0129,-0.0028
-10,-51,0.0127,-0.0031
-10,-50,0.0127,-0.0031
-10,-49,0.0127,-0.0032
-10,-48,0.0126,-0.0025
-10,-47,0.0125,-0.0029
-10,-46,0.0129,-0.0024
-10,-45,0.013,-0.002
-10,-44,0.013,-0.0021
-10,-43,0.0127,-0.0023
-10,-42,0.0128,-0.0028
-10,-41,0.0128,-0.0029
-10,-40,0.0129,-0.0029
-10,-39,0.0128,-0.0038
-10,-38,0.0129,-0.004
-10,-37,0.0128,-0.004
-10,-36,0.0129,-0.0043
-11,-78,0.0132,0.0115
-11,-77,0.0133,0.0116
-11,-76,0.0134,0.0115
-11,-75,0.0134,0.0106
-11,-74,0.0127,0.0077
-11,-73,0.0124,0.0058
-11,-72,0.011,0.0001
-11,-71,0.0112,-0.0003
-11,-70,0.0112,-0.0004
-11,-69,0.0113,-0.0003
-11,-68,0.0114,-0.0004
-11,-67,0.0115,-0.0005
-11,-66,0.0115,-0.0012
-11,-65,0.0118,-0.0013
-11,-64,0.0119,-0.0014
-11,-63,0.012,-0.0014
-11,-62,0.0124,-0.0019
-11,-61,0.0122,-0.002
-11,-60,0.0121,-0.0021
-11,-59,0.0126,-0.0021
-11,-58,0.0125,-0.0026
-11,-57,0.0127,-0.0027
-11,-56,0.0129,-0.0028
-11,-55,0.0132,-0.0028
-11,-54,0.0132,-0.0028
-11,-53,0.0133,-0.0029
-11,-52,0.0131,-0.0029
-11,-51,0.013,-0.003
-11,-50,0.0127,-0.0031
-11,-49,0.0127,-0.0031
-11,-48,0.0127,-0.0026
-11,-47,0.0127,-0.0025
-11,-46,0.0129,-0.0024
-11,-45,0.0129,-0.0026
-11,-44,0.0128,-0.0021
-11,-43,0.0128,-0.0027
-11,-42,0.0128,-0.0028
-11,-41,0.0128,-0.0029
-11,-40,0.0128,-0.0033
-11,-39,0.0128,-0.0039
-11,-38,0.0127,-0.0038
-11,-37,0.0127,-0.0039
-12,-78,0.0141,0.0156
-12,-77,0.0142,0.0157
-12,-76,0.0144,0.0154
-12,-75,0.0145,0.0153
-12,-74,0.0146,0.0151
-12,-73,0.0134,0.0082
-12,-72,0.0135,0.0077
-12,-71,0.0124,0.0037
-12,-70,0.0119,0.001
-12,-69,0.0113,-0.0002
-12,-68,0.0114,-0.0003
-12,-67,0.0115,-0.0004
-12,-66,0.0115,-0.0004
-12,-65,0.0118,-0.0012
-12,-64,0.0119,-0.0013
-12,-63,0.0118,-0.0014
-12,-62,0.0119,-0.0015
-12,-61,0.012,-0.0019
-12,-60,0.012,-0.002
-12,-59,0.0121,-0.002
-12,-58,0.0125,-0.0026
-12,-57,0.0125,-0.0026
-12,-56,0.0128,-0.0028
-12,-55,0.0131,-0.0027
-12,-54,0.0132,-0.0028
-12,-53,0.0133,-0.0029
-12,-52,0.0132,-0.0029
-12,-51,0.0131,-0.0029
-12,-50,0.0127,-0.003
-12,-49,0.0127,-0.0031
-12,-48,0.0127,-0.0031
-12,-47,0.0128,-0.0024
-12,-46,0.0129,-0.0025
-12,-45,0.0129,-0.0025
-12,-44,0.0129,-0.0026
-12,-43,0.0128,-0.0032
-12,-42,0.0128,-0.0031
-12,-41,0.0127,-0.0035
-12,-40,0.0128,-0.0033
-12,-39,0.0128,-0.0039
-12,-38,0.0127,-0.0039
-12,-37,0.0127,-0.004
-13,-77,0.0142,0.0156
-13,-76,0.0144,0.0154
-13,-75,0.0145,0.0153
-13,-74,0.0146,0.0153
-13,-73,0.0132,0.0082
-13,-72,0.0131,0.0075
-13,-71,0.0119,0.0029
-13,-70,0.0119,0.0019
-13,-69,0.0118,0.0002
-13,-68,0.0114,-0.0002
-13,-67,0.0115,-0.0003
-13,-66,0.0115,-0.0003
-13,-65,0.0119,-0.0006
-13,-64,0.0117,-0.0013
-13,-63,0.0118,-0.0014
-13,-62,0.0119,-0.0018
-13,-61,0.0118,-0.002
-13,-60,0.0119,-0.002
-13,-59,0.0119,-0.0025
-13,-58,0.012,-0.0026
-13,-57,0.0125,-0.0027
-13,-56,0.0127,-0.0027
-13,-55,0.0129,-0.0028
-13,-54,0.0133,-0.0027
-13,-53,0.0133,-0.003
-13,-52,0.0131,-0.0028
-13,-51,0.0133,-0.0029
-13,-50,0.0132,-0.0029
-13,-49,0.0127,-0.003
-13,-48,0.0129,-0.0028
-13,-47,0.0129,-0.0024
-13,-46,0.0129,-0.0025
-13,-45,0.0129,-0.0026
-13,-44,0.0131,-0.0029
-13,-43,0.0128,-0.0032
-13,-42,0.0125,-0.0035
-13,-41,0.0125,-0.0036
-13,-40,0.0132,-0.0031
-13,-39,0.0132,-0.0032
-13,-38,0.0131,-0.0032
-14,-77,0.0142,0.0155
-14,-76,0.0144,0.0153
-14,-75,0.0145,0.0151
-14,-74,0.0139,0.0108
-14,-73,0.0137,0.01
-14,-72,0.0139,0.0085
-14,-71,0.0121,0.004
-14,-70,0.0121,0.0032
-14,-69,0.0122,0.0014
-14,-68,0.0123,0.0014
-14,-67,0.0124,0.0013
-14,-66,0.012,0.0011
-14,-65,0.0119,0.0007
-14,-64,0.0117,-0.0012
-14,-63,0.0118,-0.0017
-14,-62,0.0119,-0.0018
-14,-61,0.0118,-0.0019
-14,-60,0.0118,-0.0019
-14,-59,0.0118,-0.0024
-14,-58,0.0116,-0.0023
-14,-57,0.012,-0.0026
-14,-56,0.0125,-0.0026
-14,-55,0.0128,-0.0028
-14,-54,0.0128,-0.0027
-14,-53,0.0132,-0.0027
-14,-52,0.0132,-0.0028
-14,-51,0.0133,-0.0028
-14,-50,0.0132,-0.0029
-14,-49,0.0127,-0.0027
-14,-48,0.0126,-0.0027
-14,-47,0.013,-0.0024
-14,-46,0.0131,-0.0028
-14,-45,0.0131,-0.0028
-14,-44,0.0131,-0.0029
-14,-43,0.0128,-0.0033
-14,-42,0.0128,-0.0033
-14,-41,0.0129,-0.0034
-14,-40,0.013,-0.003
-14,-39,0.0132,-0.0032
-15,-76,0.0144,0.0153
-15,-75,0.0138,0.0128
-15,-74,0.0141,0.0112
-15,-73,0.0137,0.0101
-15,-72,0.0136,0.0082
-15,-71,0.0127,0.0079
-15,-70,0.0127,0.0064
-15,-69,0.0122,0.0026
-15,-68,0.0123,0.0026
-15,-67,0.0124,0.0024
-15,-66,0.0125,0.002
-15,-65,0.0122,0.0011
-15,-64,0.0116,-0.0003
-15,-63,0.0112,-0.0017
-15,-62,0.0113,-0.0017
-15,-61,0.0113,-0.0018
-15,-60,0.0114,-0.0021
-15,-59,0.0116,-0.0022
-15,-58,0.0116,-0.0023
-15,-57,0.012,-0.0025
-15,-56,0.0122,-0.0025
-15,-55,0.0124,-0.0026
-15,-54,0.0127,-0.0026
-15,-53,0.0127,-0.0026
-15,-52,0.013,-0.0026
-15,-51,0.0131,-0.0026
-15,-50,0.0127,-0.0025
-15,-49,0.0129,-0.0026
-15,-48,0.0126,-0.0026
-15,-47,0.0129,-0.0024
-15,-46,0.0134,-0.0026
-15,-45,0.0133,-0.0023
-15,-44,0.0132,-0.0023
-15,-43,0.0134,-0.0032
-15,-42,0.0128,-0.0033
-15,-41,0.0131,-0.0029
-15,-40,0.013,-0.0033
-15,-39,0.013,-0.0032
-16,-75,0.0135,0.0104
-16,-74,0.0136,0.0103
-16,-73,0.0136,0.0085
-16,-72,0.0125,0.0116
-16,-71,0.0126,0.0116
-16,-70,0.0122,0.0073
-16,-69,0.0117,0.0034
-16,-68,0.0123,0.0027
-16,-67,0.0125,0.0021
-16,-66,0.0125,0.0021
-16,-65,0.0116,0.0018
-16,-64,0.0117,0.0016
-16,-63,0.0116,-0.0003
-16,-62,0.0113,-0.0016
-16,-61,0.0113,-0.0017
-16,-60,0.0114,-0.0019
-16,-59,0.0116,-0.0021
-16,-58,0.0116,-0.0022
-16,-57,0.012,-0.0024
-16,-56,0.0124,-0.0025
-16,-55,0.0127,-0.0026
-16,-54,0.0122,-0.0025
-16,-53,0.013,-0.0025
-16,-52,0.0129,-0.0026
-16,-51,0.0126,-0.0025
-16,-50,0.0127,-0.0025
-16,-49,0.0126,-0.0026
-16,-48,0.0126,-0.0027
-16,-47,0.013,-0.0027
-16,-46,0.0133,-0.0026
-16,-45,0.0134,-0.0024
-16,-44,0.0135,-0.0026
-16,-43,0.0136,-0.0026
-16,-42,0.0133,-0.0029
-16,-41,0.013,-0.003
-16,-40,0.013,-0.0031
-16,-39,0.013,-0.0032
-17,-73,0.0123,0.0123
-17,-72,0.0125,0.0118
-17,-71,0.012,0.0098
-17,-70,0.0109,0.0079
-17,-69,0.0105,0.0038
-17,-68,0.0119,0.0031
-17,-67,0.0122,0.0028
-17,-66,0.0125,0.003
-17,-65,0.0116,0.002
-17,-64,0.0117,0.0015
-17,-63,0.0116,-0.0002
-17,-62,0.0117,-0.0008
-17,-61,0.0113,-0.0016
-17,-60,0.0114,-0.0018
-17,-59,0.0115,-0.0018
-17,-58,0.0116,-0.0021
-17,-57,0.0123,-0.002
-17,-56,0.0125,-0.0021
-17,-55,0.0127,-0.0021
-17,-54,0.0122,-0.0025
-17,-53,0.0124,-0.0024
-17,-52,0.0125,-0.0024
-17,-51,0.0126,-0.0025
-17,-50,0.0126,-0.0025
-17,-49,0.0126,-0.0026
-17,-48,0.0126,-0.0027
-17,-47,0.0128,-0.0027
-17,-46,0.0133,-0.0026
-17,-45,0.0136,-0.0025
-17,-44,0.0138,-0.0027
-17,-43,0.0139,-0.0029
-17,-42,0.0137,-0.0031
-17,-41,0.0129,-0.0034
-17,-40,0.013,-0.0031
-17,-39,0.013,-0.0032
-18,-72,0.0117,0.0108
-18,-71,0.0109,0.0092
-18,-70,0.0084,0.0049
-18,-69,0.0094,0.003
-18,-68,0.0115,0.0021
-18,-67,0.0118,0.0027
-18,-66,0.0127,0.0029
-18,-65,0.0125,0.0024
-18,-64,0.0126,0.0024
-18,-63,0.0127,0.0023
-18,-62,0.0117,-0.0002
-18,-61,0.0118,-0.0007
-18,-60,0.0113,-0.0017
-18,-59,0.0114,-0.0018
-18,-58,0.0123,-0.0018
-18,-57,0.0125,-0.0019
-18,-56,0.0128,-0.002
-18,-55,0.0128,-0.002
-18,-54,0.0131,-0.002
-18,-53,0.013,-0.0021
-18,-52,0.0126,-0.0023
-18,-51,0.0126,-0.0023
-18,-50,0.0125,-0.0027
-18,-49,0.0125,-0.0028
-18,-48,0.0125,-0.0028
-18,-47,0.0128,-0.0029
-18,-46,0.0131,-0.0029
-18,-45,0.0135,-0.0028
-18,-44,0.0135,-0.0036
-18,-43,0.0136,-0.0031
-18,-42,0.0134,-0.0033
-18,-41,0.0132,-0.0035
-18,-40,0.0131,-0.0036
-18,-39,0.0132,-0.0037
-19,-71,0.0099,0.008
-19,-70,0.0093,0.0018
-19,-69,0.01,0.0017
-19,-68,0.0125,0.0014
-19,-67,0.014,0.0024
-19,-66,0.0136,0.0037
-19,-65,0.0125,0.0025
-19,-64,0.0126,0.0025
-19,-63,0.012,0.0005
-19,-62,0.0122,0.0006
-19,-61,0.0116,-0.0011
-19,-60,0.0117,-0.0011
-19,-59,0.0121,-0.0016
-19,-58,0.0122,-0.0017
-19,-57,0.0125,-0.0016
-19,-56,0.0126,-0.0017
-19,-55,0.0128,-0.0018
-19,-54,0.0132,-0.0018
-19,-53,0.0132,-0.0019
-19,-52,0.0123,-0.0021
-19,-51,0.0127,-0.0023
-19,-50,0.0127,-0.0024
-19,-49,0.0127,-0.0027
-19,-48,0.0127,-0.0029
-19,-47,0.0128,-0.0028
-19,-46,0.0131,-0.0031
-19,-45,0.0134,-0.0033
-19,-44,0.0129,-0.0033
-19,-43,0.0127,-0.0035
-19,-42,0.0129,-0.0034
-19,-41,0.0133,-0.0034
-19,-40,0.0132,-0.0035
-19,-39,0.0132,-0.0036
-20,-71,0.0116,0.0128
-20,-70,0.0123,0.0014
-20,-69,0.0147,0.0019
-20,-68,0.017,0.0049
-20,-67,0.0162,0.0041
-20,-66,0.0159,0.0044
-20,-65,0.0144,0.0044
-20,-64,0.0135,0.0027
-20,-63,0.0134,0.0039
-20,-62,0.0131,0.0021
-20,-61,0.0117,-0.0019
-20,-60,0.0118,-0.0019
-20,-59,0.0124,-0.0011
-20,-58,0.0124,-0.0015
-20,-57,0.012,-0.0016
-20,-56,0.0122,-0.0014
-20,-55,0.0122,-0.0015
-20,-54,0.0129,-0.0016
-20,-53,0.0131,-0.0015
-20,-52,0.0123,-0.0018
-20,-51,0.0126,-0.002
-20,-50,0.0128,-0.0023
-20,-49,0.0126,-0.0026
-20,-48,0.0126,-0.0027
-20,-47,0.0127,-0.0027
-20,-46,0.0133,-0.0035
-20,-45,0.0133,-0.0036
-20,-44,0.0129,-0.0034
-20,-43,0.0127,-0.0034
-20,-42,0.0129,-0.003
-20,-41,0.0133,-0.0033
-20,-40,0.0133,-0.0034
-21,-71,0.0142,0.0201
-21,-70,0.015,0.0213
-21,-69,0.0159,0.0114
-21,-68,0.0179,0.0105
-21,-67,0.0181,0.0076
-21,-66,0.0164,0.0086
-21,-65,0.014,0.0058
-21,-64,0.0137,0.0057
-21,-63,0.0121,0.0032
-21,-62,0.0117,-0.0017
-21,-61,0.0117,-0.0018
-21,-60,0.0118,-0.0019
-21,-59,0.0125,-0.0022
-21,-58,0.0125,-0.0022
-21,-57,0.0121,-0.0013
-21,-56,0.0122,-0.0014
-21,-55,0.0122,-0.0015
-21,-54,0.0122,-0.0015
-21,-53,0.0124,-0.0015
-21,-52,0.0122,-0.002
-21,-51,0.0127,-0.0022
-21,-50,0.0126,-0.0023
-21,-49,0.0127,-0.0025
-21,-48,0.0127,-0.0025
-21,-47,0.013,-0.0027
-21,-46,0.0135,-0.0028
-21,-45,0.0132,-0.0036
-21,-44,0.0128,-0.0034
-21,-43,0.0126,-0.0034
-21,-42,0.0128,-0.003
-21,-41,0.0128,-0.0031
-21,-40,0.0129,-0.0033
-22,-71,0.0169,0.0314
-22,-70,0.0151,0.0245
-22,-69,0.017,0.0204
-22,-68,0.0179,0.0126
-22,-67,0.0173,0.0129
-22,-66,0.0163,0.0109
-22,-65,0.0142,0.0068
-22,-64,0.013,0.0045
-22,-63,0.0123,0.0021
-22,-62,0.0124,0.002
-22,-61,0.0124,0.0019
-22,-60,0.0118,-0.0019
-22,-59,0.0125,-0.0017
-22,-58,0.0125,-0.0022
-22,-57,0.0121,-0.0012
-22,-56,0.0122,-0.0013
-22,-55,0.0122,-0.0014
-22,-54,0.0122,-0.0015
-22,-53,0.0124,-0.0018
-22,-52,0.0125,-0.0019
-22,-51,0.0129,-0.002
-22,-50,0.0125,-0.002
-22,-49,0.0126,-0.0022
-22,-48,0.0127,-0.0023
-22,-47,0.0131,-0.0027
-22,-46,0.0134,-0.0029
-22,-45,0.0136,-0.0029
-22,-44,0.0129,-0.0027
-22,-43,0.0128,-0.0027
-22,-42,0.0128,-0.0028
-22,-41,0.0128,-0.0031
-23,-71,0.0174,0.0319
-23,-70,0.0172,0.029
-23,-69,0.0172,0.0252
-23,-68,0.0172,0.0166
-23,-67,0.0166,0.0147
-23,-66,0.0149,0.0124
-23,-65,0.0127,0.0049
-23,-64,0.0128,0.0048
-23,-63,0.0123,0.0022
-23,-62,0.0124,0.0021
-23,-61,0.0124,0.0007
-23,-60,0.0122,-0.0018
-23,-59,0.0121,-0.0017
-23,-58,0.0125,-0.0022
-23,-57,0.013,-0.0012
-23,-56,0.0122,-0.0012
-23,-55,0.013,-0.0014
-23,-54,0.0122,-0.0016
-23,-53,0.0127,-0.0019
-23,-52,0.0125,-0.0019
-23,-51,0.0129,-0.0019
-23,-50,0.0124,-0.0015
-23,-49,0.0126,-0.002
-23,-48,0.0127,-0.0021
-23,-47,0.0131,-0.0026
-23,-46,0.0135,-0.0029
-23,-45,0.0136,-0.0029
-23,-44,0.0134,-0.0029
-23,-43,0.013,-0.0028
