latitud,longitud,comp_n,comp_e
20,-79,0.0022,-0.0051
20,-78,0.0027,-0.0051
20,-77,0.0046,0.0019
20,-76,0.0041,-0.0026
20,-75,0.0052,-0.0021
20,-74,0.0037,-0.0037
20,-73,0.0039,-0.0019
20,-72,0.0049,-0.0006
20,-71,0.0055,0.0005
19,-105,-0.0027,-0.0032
19,-104,-0.0006,-0.0024
19,-103,-0.003,-0.0031
19,-102,-0.0023,-0.0034
19,-101,-0.0024,-0.0037
19,-100,-0.0046,-0.0045
19,-99,-0.0034,-0.0045
19,-98,-0.0039,-0.0043
19,-97,-0.0017,-0.0044
19,-96,-0.0012,-0.005
19,-95,-0.0007,-0.005
19,-94,-0.0003,-0.005
19,-93,-0.0014,-0.0056
19,-92,-0.0015,-0.0062
19,-91,-0.001,-0.0063
19,-90,-0.0013,-0.0062
19,-89,-0.001,-0.0062
19,-88,-0.0008,-0.0062
19,-87,-0.0004,-0.0057
19,-86,0,-0.0058
19,-85,0.0004,-0.0042
19,-84,0.0006,-0.0047
19,-83,0.0006,-0.0038
19,-82,0.0008,-0.005
19,-81,0.0013,-0.0049
19,-80,0.0018,-0.0047
19,-79,0.0034,0.0009
19,-78,0.0052,0.0075
19,-77,0.0051,0.0045
19,-76,0.0058,0.0055
19,-75,0.0067,0.0052
19,-74,0.0052,0.0035
19,-73,0.0059,0.0052
19,-72,0.0055,0.0031
19,-71,0.0059,0.0033
19,-70,0.0067,0.0024
19,-69,0.0071,0.0038
19,-68,0.0103,0.0088
19,-67,0.0118,0.0094
19,-66,0.0125,0.0099
19,-65,0.0128,0.0098
19,-64,0.0133,0.0099
19,-63,0.0142,0.0099
18,-103,-0.0024,-0.0026
18,-102,-0.0024,-0.0029
18,-101,-0.0027,-0.0026
18,-100,-0.0033,-0.0039
18,-99,-0.0028,-0.0038
18,-98,-0.0022,-0.0039
18,-97,-0.0011,-0.0039
18,-96,-0.0012,-0.0044
18,-95,-0.0006,-0.0041
18,-94,0.0001,-0.0042
18,-93,-0.0011,-0.005
18,-92,-0.0006,-0.0051
18,-91,-0.0027,-0.0074
18,-90,-0.0022,-0.0071
18,-89,-0.0016,-0.0067
18,-88,-0.0008,-0.0057
18,-87,0.0013,-0.0015
18,-86,0.0023,0.0014
18,-85,0.0029,0.0014
18,-84,0.0027,0.0014
18,-83,0.0008,-0.0028
18,-82,0.0011,-0.0033
18,-81,0.0013,-0.0042
18,-80,0.0018,-0.0042
18,-79,0.0034,0.0012
18,-78,0.0054,0.0086
18,-77,0.0059,0.0086
18,-76,0.0064,0.0086
18,-75,0.0073,0.0088
18,-74,0.0073,0.009
18,-73,0.0076,0.0093
18,-72,0.0068,0.0074
18,-71,0.0069,0.0083
18,-70,0.0069,0.0063
18,-69,0.0081,0.0082
18,-68,0.0105,0.0094
18,-67,0.0121,0.0103
18,-66,0.0124,0.0104
18,-65,0.0127,0.0105
18,-64,0.0133,0.0105
18,-63,0.0157,0.0107
18,-62,0.0167,0.0107
18,-61,0.0178,0.0109
17,-101,-0.0027,-0.002
17,-100,-0.003,-0.0032
17,-99,-0.0025,-0.0033
17,-98,-0.0017,-0.0033
17,-97,0.0007,-0.0035
17,-96,-0.0012,-0.0038
17,-95,0.0004,-0.0036
17,-94,0.0004,-0.0036
17,-93,-0.0018,-0.0048
17,-92,-0.0021,-0.0057
17,-91,-0.0023,-0.0061
17,-90,-0.0023,-0.0065
17,-89,-0.0014,-0.0057
17,-88,0.0002,-0.0025
17,-87,0.0028,0.0025
17,-86,0.0022,0.0015
17,-85,0.0033,0.0042
17,-84,0.0045,0.0073
17,-83,0.0023,0.0016
17,-82,0.002,-0.0001
17,-81,0.0016,-0.0027
17,-80,0.0026,0
17,-79,0.0049,0.0091
17,-78,0.0054,0.0092
17,-77,0.006,0.0095
17,-76,0.0065,0.0096
17,-75,0.0076,0.0095
17,-74,0.0073,0.0096
17,-73,0.0076,0.0098
17,-72,0.0068,0.01
17,-71,0.0073,0.0101
17,-70,0.0072,0.0093
17,-69,0.0078,0.0087
17,-68,0.0113,0.0104
17,-67,0.0122,0.0108
17,-66,0.0124,0.011
17,-65,0.0127,0.0111
17,-64,0.015,0.011
17,-63,0.0159,0.0112
17,-62,0.0162,0.0114
17,-61,0.0169,0.0115
17,-60,0.0155,0.0117
16,-98,-0.0019,-0.0027
16,-97,-0.0011,-0.0027
16,-96,-0.0011,-0.0029
16,-95,0.0004,-0.003
16,-94,-0.0029,-0.0045
16,-93,-0.0026,-0.0046
16,-92,-0.0014,-0.0044
16,-91,-0.0022,-0.0052
16,-90,-0.0023,-0.0057
16,-89,-0.0012,-0.0043
16,-88,0.0007,0
16,-87,0.0042,0.0062
16,-86,0.0035,0.0065
16,-85,0.004,0.0079
16,-84,0.0045,0.0079
16,-83,0.0036,0.0073
16,-82,0.0042,0.0076
16,-81,0.0047,0.0077
16,-80,0.0043,0.0071
16,-79,0.0054,0.0111
16,-78,0.0054,0.0097
16,-77,0.0061,0.0102
16,-76,0.0065,0.01
16,-75,0.0073,0.0099
16,-74,0.0073,0.0102
16,-73,0.0076,0.0104
16,-72,0.0068,0.0105
16,-71,0.0068,0.0097
16,-70,0.0077,0.0103
16,-69,0.0087,0.0099
16,-68,0.0113,0.0109
16,-67,0.0123,0.0115
16,-66,0.0123,0.0121
16,-65,0.0126,0.0117
16,-64,0.0162,0.0118
16,-63,0.0161,0.0119
16,-62,0.0163,0.0121
16,-61,0.0167,0.0122
16,-60,0.0145,0.0126
15,-93,-0.0022,-0.0039
15,-92,-0.0015,-0.0031
15,-91,-0.0006,-0.0026
15,-90,-0.0007,-0.0016
15,-89,0.0004,0.0001
15,-88,0.002,0.0068
15,-87,0.004,0.0099
15,-86,0.0046,0.01
15,-85,0.0053,0.0106
15,-84,0.0045,0.0085
15,-83,0.0039,0.0096
15,-82,0.0052,0.0122
15,-81,0.0057,0.0122
15,-80,0.0055,0.012
15,-79,0.0054,0.011
15,-78,0.0056,0.0108
15,-77,0.006,0.0105
15,-76,0.0065,0.0105
15,-75,0.0073,0.0107
15,-74,0.0094,0.0112
15,-73,0.0098,0.0109
15,-72,0.0102,0.0118
15,-71,0.0107,0.0118
15,-70,0.0101,0.0116
15,-69,0.0104,0.0114
15,-68,0.012,0.0121
15,-67,0.0121,0.0122
15,-66,0.0122,0.0124
15,-65,0.0144,0.0122
15,-64,0.0162,0.0123
15,-63,0.0165,0.0125
15,-62,0.0152,0.0129
15,-61,0.0141,0.0132
15,-60,0.0145,0.0134
15,-59,0.0148,0.0131
14,-92,0.0003,-0.0015
14,-91,0.0022,0.0012
14,-90,0.0018,0.0026
14,-89,0.0015,0.0044
14,-88,0.002,0.0076
14,-87,0.0033,0.009
14,-86,0.0045,0.0088
14,-85,0.0052,0.0095
14,-84,0.0051,0.0114
14,-83,0.005,0.0128
14,-82,0.0052,0.0128
14,-81,0.0056,0.0128
14,-80,0.0062,0.0128
14,-79,0.006,0.0126
14,-78,0.0064,0.0111
14,-77,0.0086,0.0104
14,-76,0.0098,0.0104
14,-75,0.0123,0.0098
14,-74,0.0128,0.0109
14,-73,0.0133,0.0109
14,-72,0.0124,0.0118
14,-71,0.0114,0.0123
14,-70,0.0119,0.0123
14,-69,0.0123,0.0124
14,-68,0.012,0.0127
14,-67,0.0125,0.0127
14,-66,0.0126,0.0128
14,-65,0.0126,0.0129
14,-64,0.0125,0.0134
14,-63,0.0129,0.0135
14,-62,0.0134,0.0135
14,-61,0.0138,0.0142
14,-60,0.0145,0.0138
14,-59,0.0149,0.0134
14,-58,0.0154,0.0136
13,-89,0.0028,0.0075
13,-88,0.0021,0.01
13,-87,0.0038,0.0095
13,-86,0.0047,0.0093
13,-85,0.0051,0.0107
13,-84,0.0052,0.0116
13,-83,0.0047,0.0133
13,-82,0.0051,0.0133
13,-81,0.0055,0.0134
13,-80,0.0062,0.0134
13,-79,0.0086,0.0147
13,-78,0.0085,0.0113
13,-77,0.0102,0.0101
13,-76,0.0121,0.0095
13,-75,0.0126,0.0095
13,-74,0.013,0.0109
13,-73,0.0133,0.0115
13,-72,0.0124,0.0123
13,-71,0.0115,0.0127
13,-70,0.0117,0.013
13,-69,0.0121,0.013
13,-68,0.0128,0.013
13,-67,0.0133,0.0123
13,-66,0.0123,0.0134
13,-65,0.0122,0.0138
13,-64,0.0125,0.0138
13,-63,0.0126,0.0137
13,-62,0.0134,0.0139
13,-61,0.0137,0.0139
13,-60,0.0142,0.0138
13,-59,0.0149,0.0138
